id,shop_id,search_term_id,product_name,price,monthly_sales,monthly_revenue,growth_rate,total_sales,reviews,listing_age_months,category,subcategory,manufacturing_method,complexity,estimated_cogs,estimated_margin,production_time_minutes,created_at
1,1,1,"Retro iPhone Case: Mainframe UNU, 3D Printed, MagSafe Compatible",55.0,22,1210.0,100,47,8,8,3D Printed Products,phone_stands,,,,,,2026-01-02 14:38:16
2,2,1,Personalized Phone Stand Charging Station Desk Organizer,28.5,41,1169.0,200,106,36,4,3D Printed Products,phone_stands,,,,,,2026-01-02 14:38:16
3,3,1,Stickman Phone Tablet Stand – 3D Printed Desk Accessory,8.08,96,776.0,75,174,39,11,3D Printed Products,phone_stands,,,,,,2026-01-02 14:38:16
4,4,2,Workbench Toolbox Pen Holder – Tool Box Organizer for Desk,29.99,316,9477.0,350,1784,307,9,3D Printed Products,desk_accessories,,,,,,2026-01-02 14:38:16
5,5,2,Millennium Falcon Wireless Mouse: Star Wars Desk Mac/PC,62.77,128,8167.0,0,237,44,10,3D Printed Products,desk_accessories,,,,,,2026-01-02 14:38:16
6,6,2,RANDOM Packs of Detailed Pocket Pets | 0.8-1.5in | 3D Printed Mini Fidget Animals,8.75,518,4533.0,50,8211,1671,18,3D Printed Products,desk_accessories,,,,,,2026-01-02 14:38:16
7,7,3,Christmas Gift Custom Wood Cable Management Box,63.0,60,3780.0,400,221,33,7,3D Printed Products,organizers,,,,,,2026-01-02 14:38:16
8,8,3,Wood Cable Management Box | Cable Organizer Box,120.0,22,2640.0,100,23,9,3,3D Printed Products,organizers,,,,,,2026-01-02 14:38:16
9,9,4,Teal Blue Resin River Wood Drink Coasters Set of 4,87.0,13,1131.0,100,22,3,3,Resin + Wood Hybrid Products,coasters,,,,,,2026-01-02 14:38:16
10,10,4,Resin Coaster Set with Holder Drink Coasters Round Coasters,39.99,24,960.0,0,31,8,5,Resin + Wood Hybrid Products,coasters,,,,,,2026-01-02 14:38:16
11,11,4,"Handcrafted Walnut Wood River Coasters: Live Edge Epoxy Resin, Set of 4",114.83,8,919.0,0,45,11,6,Resin + Wood Hybrid Products,coasters,,,,,,2026-01-02 14:38:16
12,12,5,Pick Any Letter | Hanging Beach Resin Art,100.0,22,2200.0,50,747,240,36,Resin + Wood Hybrid Products,resin_art_coasters,,,,,,2026-01-02 14:38:16
13,13,5,"Dried Pressed Flowers and Leaves for Resin, Jewelry DIY",3.78,217,820.0,83,22061,3457,51,Resin + Wood Hybrid Products,resin_art_coasters,,,,,,2026-01-02 14:38:16
14,14,5,Handmade Resin Flower Coaster with Real Pressed Flowers & Gold Foil,18.7,36,673.0,200,169,61,16,Resin + Wood Hybrid Products,resin_art_coasters,,,,,,2026-01-02 14:38:16
15,15,6,"Custom Epoxy Table, Rustic Dining Table",2750.0,19,52250.0,0,19,3,2,Resin + Wood Hybrid Products,epoxy_tables,,,,,,2026-01-02 14:38:16
16,16,6,"Custom Ocean Epoxy Resin Table, Live Edge Wood Dining Table",1488.0,18,26784.0,0,26,6,5,Resin + Wood Hybrid Products,epoxy_tables,,,,,,2026-01-02 14:38:16
17,17,6,Round Live Edge Resin Coffee Table Walnut Side Table,158.66,148,23482.0,75,548,157,20,Resin + Wood Hybrid Products,epoxy_tables,,,,,,2026-01-02 14:38:16
18,18,7,ANIME Night Lamp Epoxy lamp handmade from wood and resin,137.25,199,27313.0,67,984,201,21,Resin + Wood Hybrid Products,resin_lamps,,,,,,2026-01-02 14:38:16
19,17,7,Hollow Knight Resin Lamp: Anime Night Light,158.66,148,23482.0,75,548,157,20,Resin + Wood Hybrid Products,resin_lamps,,,,,,2026-01-02 14:38:16
20,19,7,TOTK Resin Wood Night Light Christmas Gift for Game fans,96.32,192,18493.0,57,1820,379,18,Resin + Wood Hybrid Products,resin_lamps,,,,,,2026-01-02 14:38:16
21,20,8,CUSTOM CNC carved Natural Pine unpainted Letter routed wood sign,39.0,62,2418.0,75,3676,830,54,CNC & Laser Cut Products,cnc_wood_signs,,,,,,2026-01-02 14:38:16
22,21,8,Custom CNC Carved Wood Sign: Personalized Text,77.9,14,1913.0,0,335,66,32,CNC & Laser Cut Products,cnc_wood_signs,,,,,,2026-01-02 14:38:16
23,20,9,Custom CNC Carved Wood Sign: Unpainted Letter,39.0,62,2418.0,75,3676,830,54,CNC & Laser Cut Products,laser_cut_art,,,,,,2026-01-02 14:38:16
24,22,9,"Rustic American Flag, Wooden American Flag",110.0,7,770.0,0,1395,386,69,CNC & Laser Cut Products,laser_cut_art,,,,,,2026-01-02 14:38:16
25,23,10,"Personalized Serving Board for Couple, Marble Wood Cheese Board",129.18,1158,149590.0,92,2922,574,11,CNC & Laser Cut Products,custom_engraved,,,,,,2026-01-02 14:38:16
26,24,10,Personalized serving board for couple or family gift,57.5,617,35478.0,62,1745,377,11,CNC & Laser Cut Products,custom_engraved,,,,,,2026-01-02 14:38:16
27,25,10,Custom Engraved Wooden Jewelry Box with Drawers,134.58,168,22609.0,30,2580,341,25,CNC & Laser Cut Products,custom_engraved,,,,,,2026-01-02 14:38:16
28,26,11,Personalized Gaming Controller and Headphone Stand,61.99,227,14072.0,500,1861,277,13,Gaming Accessories,controller_stands,,,,,,2026-01-02 14:38:16
29,27,11,Personalized PS5 and Xbox Controller and Headphone Stand,94.03,70,7797.0,300,215,48,6,Gaming Accessories,controller_stands,,,,,,2026-01-02 14:38:16
30,28,11,Controller & Headphone Stand: Christmas Gifts For Him,99.9,77,7692.0,150,186,42,26,Gaming Accessories,controller_stands,,,,,,2026-01-02 14:38:16
31,7,12,Christmas Gift Custom Wood Cable Management Box,63.0,60,3780.0,400,221,33,7,Tech Accessories,cable_organizers,,,,,,2026-01-02 14:38:16
32,8,12,Wood Cable Management Box | Cable Organizer Box,120.0,22,2640.0,100,23,9,3,Tech Accessories,cable_organizers,,,,,,2026-01-02 14:38:16
33,29,12,"Hardwood Cable Hiding Shelf: AV Box, Cord Management",197.95,7,1386.0,100,86,47,22,Tech Accessories,cable_organizers,,,,,,2026-01-02 14:38:16
34,30,13,"Personalized Glass Charcuterie Board, Epoxy River Resin Cutting Board",79.99,398,40236.0,69,2489,417,12,Kitchen Products,cutting_boards,,,,,,2026-01-02 14:38:16
35,31,13,"Personalized Serving Board for Couple, Marble Wood Cheese Board",59.95,117,22571.0,25,2406,499,17,Kitchen Products,cutting_boards,,,,,,2026-01-02 14:38:16
